ride_id,user_id,timestamp,city,ride_type,distance_km,duration_min,base_fare,surge_multiplier,final_fare,rating,payment_method,cancelled,user_age,user_gender,user_segment,hour,day_of_week,month,is_peak_hour
44,1533,2024-02-19 00:56:00,Delhi,XL,3.29,18,51.46,1.0,51.46,4,Wallet,0,18,Female,Student,0,Monday,February,0
45,185,2024-07-02 12:59:00,Bangalore,Standard,6.35,27,73.96,1.0,73.96,4,Card,0,37,Male,Mid-Career,12,Tuesday,July,0
46,1178,2024-06-25 13:27:00,Mumbai,Premium,11.88,42,207.66,1.0,207.66,4,UPI,0,26,Other,Young Professional,13,Tuesday,June,0
47,856,2024-11-05 15:43:00,Delhi,Standard,8.98,35,114.7,1.0,114.7,5,Cash,0,51,Male,Senior,15,Tuesday,November,0
48,1903,2024-05-15 05:36:00,Mumbai,Premium,2.79,16,58.5,1.0,58.5,5,Cash,1,24,Female,Student,5,Wednesday,May,0
49,922,2024-01-23 05:45:00,Bangalore,Premium,6.02,25,128.75,1.0,128.75,5,Wallet,0,18,Female,Student,5,Tuesday,January,0
50,694,2024-08-23 04:55:00,Hyderabad,Standard,14.67,56,162.49,1.0,162.49,5,Card,0,27,Male,Young Professional,4,Friday,August,0
51,512,2024-10-01 09:57:00,Delhi,XL,1.0,7,30.0,1.5,45.0,4,Wallet,0,18,Female,Student,9,Tuesday,October,1
52,667,2024-03-04 10:40:00,Delhi,Pool,1.0,7,30.0,1.0,30.0,5,UPI,0,39,Male,Mid-Career,10,Monday,March,0
53,1252,2024-07-12 13:19:00,Mumbai,XL,6.5,26,97.07,1.0,97.07,3,Card,0,18,Female,Student,13,Friday,July,0
54,475,2024-02-10 18:13:00,Mumbai,Pool,8.15,32,59.42,1.0,59.42,5,UPI,0,32,Male,Young Professional,18,Saturday,February,1
55,102,2024-10-09 19:56:00,Mumbai,Premium,1.9,9,33.22,2.0,66.44,5,Cash,0,18,Female,Student,19,Wednesday,October,1
56,1718,2024-05-30 14:41:00,Delhi,XL,10.94,40,170.2,1.0,170.2,4,Card,0,28,Male,Young Professional,14,Thursday,May,0
57,258,2024-11-17 04:47:00,Delhi,Standard,8.31,33,115.5,1.0,115.5,4,UPI,0,48,Male,Mid-Career,4,Sunday,November,0
58,1801,2024-11-12 19:58:00,Chennai,Standard,20.54,75,234.04,1.0,234.04,5,Card,1,35,Male,Mid-Career,19,Tuesday,November,1
59,72,2024-07-04 17:17:00,Mumbai,Standard,1.48,7,30.0,2.0,60.0,3,UPI,0,23,Male,Student,17,Thursday,July,1
60,1523,2024-10-22 22:26:00,Bangalore,Standard,11.13,46,142.32,1.0,142.32,4,UPI,0,31,Female,Young Professional,22,Tuesday,October,0
61,360,2024-04-08 17:44:00,Delhi,Standard,1.0,12,30.0,1.5,45.0,5,UPI,0,32,Female,Young Professional,17,Monday,April,1
62,884,2024-12-26 06:00:00,Delhi,Standard,6.66,28,63.03,1.0,63.03,5,Card,0,36,Female,Mid-Career,6,Thursday,December,0
63,1002,2024-02-05 09:26:00,Hyderabad,Pool,6.42,28,54.78,2.0,109.56,5,UPI,0,18,Male,Student,9,Monday,February,1
64,1856,2024-01-24 19:52:00,Mumbai,Standard,3.93,17,57.24,1.0,57.24,5,UPI,0,37,Male,Mid-Career,19,Wednesday,January,1
65,1265,2024-12-04 04:26:00,Mumbai,Standard,14.89,60,132.24,1.0,132.24,4,UPI,0,18,Male,Student,4,Wednesday,December,0
66,115,2024-04-26 20:24:00,Bangalore,Premium,1.0,14,30.0,2.0,60.0,4,UPI,0,25,Female,Young Professional,20,Friday,April,1
67,577,2024-05-28 05:17:00,Delhi,Standard,5.87,25,50.42,1.0,50.42,5,UPI,0,27,Other,Young Professional,5,Tuesday,May,0
68,1813,2024-02-10 13:53:00,Mumbai,Pool,1.96,10,30.0,1.0,30.0,5,Card,0,38,Male,Mid-Career,13,Saturday,February,0
69,1434,2024-04-29 11:57:00,Mumbai,Standard,10.88,44,143.56,1.0,143.56,2,Card,0,32,Male,Young Professional,11,Monday,April,0
70,1679,2024-02-21 18:12:00,Delhi,XL,1.0,9,30.0,1.5,45.0,4,Wallet,0,18,Male,Student,18,Wednesday,February,1
71,1451,2024-07-13 21:52:00,Bangalore,Pool,14.25,53,129.86,1.0,129.86,4,UPI,0,22,Female,Student,21,Saturday,July,0
72,1753,2024-05-22 21:49:00,Mumbai,Standard,14.57,57,189.31,1.0,189.31,5,Wallet,0,33,Female,Young Professional,21,Wednesday,May,0
73,1703,2024-08-20 17:31:00,Delhi,Standard,14.31,58,200.97,2.0,401.94,4,UPI,0,31,Female,Young Professional,17,Tuesday,August,1
74,1552,2024-11-21 20:16:00,Delhi,Pool,1.32,7,30.0,2.0,60.0,5,UPI,0,26,Male,Young Professional,20,Thursday,November,1
75,547,2024-07-05 16:38:00,Delhi,Pool,7.96,40,61.14,1.0,61.14,5,UPI,0,27,Female,Young Professional,16,Friday,July,0
76,1815,2024-03-24 08:00:00,Chennai,Pool,1.0,5,30.0,2.0,60.0,5,UPI,0,38,Female,Mid-Career,8,Sunday,March,1
77,1164,2024-07-08 09:40:00,Mumbai,Pool,15.07,55,110.08,2.0,220.16,5,Card,0,26,Male,Young Professional,9,Monday,July,1
78,1976,2024-06-30 08:44:00,Chennai,Standard,10.27,42,120.39,1.0,120.39,4,Cash,1,31,Female,Young Professional,8,Sunday,June,1
79,1776,2024-04-17 05:25:00,Bangalore,Standard,6.06,33,73.17,1.0,73.17,2,Wallet,0,53,Male,Senior,5,Wednesday,April,0
80,308,2024-12-09 21:02:00,Hyderabad,Standard,10.49,40,124.84,1.0,124.84,5,Wallet,0,18,Male,Student,21,Monday,December,0
81,787,2024-05-16 17:44:00,Delhi,Pool,1.0,5,30.0,1.0,30.0,4,Cash,0,18,Female,Student,17,Thursday,May,1
82,1890,2024-12-25 09:49:00,Delhi,Premium,6.02,28,116.37,2.0,232.74,4,Card,0,39,Male,Mid-Career,9,Wednesday,December,1
83,1982,2024-12-15 09:28:00,Hyderabad,Standard,2.75,14,30.0,1.0,30.0,5,Card,0,25,Female,Young Professional,9,Sunday,December,1
84,392,2024-11-27 08:08:00,Hyderabad,Standard,28.78,108,315.36,1.5,473.04,4,Wallet,0,28,Female,Young Professional,8,Wednesday,November,1
85,1651,2024-02-06 09:42:00,Mumbai,Standard,15.57,59,199.03,2.0,398.06,5,Cash,0,24,Male,Student,9,Tuesday,February,1
86,87,2024-11-07 07:44:00,Mumbai,Standard,10.57,39,109.07,2.0,218.14,4,UPI,0,29,Female,Young Professional,7,Thursday,November,1
87,1163,2024-11-21 17:14:00,Delhi,Pool,21.71,88,170.22,2.0,340.44,3,Card,0,47,Male,Mid-Career,17,Thursday,November,1
88,1403,2024-03-28 19:04:00,Chennai,Premium,3.41,8,77.2,1.5,115.8,4,UPI,0,40,Male,Mid-Career,19,Thursday,March,1
89,1067,2024-09-30 01:40:00,Delhi,Pool,18.49,75,152.26,1.0,152.26,5,Card,0,40,Male,Mid-Career,1,Monday,September,0
90,866,2024-05-05 12:07:00,Bangalore,Standard,3.15,19,37.48,1.0,37.48,5,Wallet,0,18,Male,Student,12,Sunday,May,0
91,1093,2024-03-24 19:07:00,Bangalore,Standard,10.56,40,126.24,1.5,189.36,4,Card,0,20,Male,Student,19,Sunday,March,1
92,1701,2024-08-24 01:10:00,Hyderabad,Pool,10.67,48,76.55,1.0,76.55,4,Wallet,0,18,Male,Student,1,Saturday,August,0
93,153,2024-07-13 08:57:00,Bangalore,Pool,1.0,5,30.0,2.0,60.0,5,Wallet,0,23,Male,Student,8,Saturday,July,1
94,472,2024-05-18 08:50:00,Delhi,Premium,3.58,21,70.27,1.5,105.4,3,UPI,0,41,Male,Mid-Career,8,Saturday,May,1
95,664,2024-11-23 20:31:00,Chennai,Pool,1.0,5,30.0,1.5,45.0,4,UPI,0,37,Female,Mid-Career,20,Saturday,November,1
96,618,2024-12-18 20:04:00,Bangalore,Standard,40.0,120,525.51,1.0,525.51,4,UPI,0,29,Male,Young Professional,20,Wednesday,December,1
97,290,2024-10-12 18:11:00,Bangalore,Premium,1.04,5,30.0,1.5,45.0,5,Wallet,0,31,Female,Young Professional,18,Saturday,October,1
98,1519,2024-04-22 06:34:00,Delhi,Standard,6.26,25,85.3,1.0,85.3,4,UPI,0,25,Female,Young Professional,6,Monday,April,0
99,1874,2024-12-16 18:20:00,Bangalore,Standard,12.51,49,174.17,1.5,261.26,2,Card,0,34,Female,Young Professional,18,Monday,December,1
100,1932,2024-06-15 02:10:00,Mumbai,Standard,1.8,9,30.0,1.0,30.0,5,Card,0,39,Male,Mid-Career,2,Saturday,June,0
101,938,2024-01-29 07:47:00,Mumbai,Standard,5.31,17,71.52,1.0,71.52,3,Cash,0,18,Female,Student,7,Monday,January,1
102,871,2024-04-27 03:16:00,Bangalore,Premium,7.48,33,134.78,1.0,134.78,5,UPI,0,34,Female,Young Professional,3,Saturday,April,0
103,1615,2024-01-17 20:43:00,Delhi,Standard,1.4,10,30.0,1.5,45.0,5,UPI,0,41,Female,Mid-Career,20,Wednesday,January,1
104,1135,2024-06-10 19:45:00,Bangalore,Premium,12.06,48,253.71,1.5,380.56,4,UPI,0,27,Male,Young Professional,19,Monday,June,1
105,1292,2024-07-24 09:59:00,Mumbai,XL,2.85,15,39.43,1.0,39.43,2,Card,0,39,Male,Mid-Career,9,Wednesday,July,1
106,1437,2024-05-17 00:44:00,Bangalore,Standard,1.9,14,30.0,1.0,30.0,5,UPI,0,60,Female,Senior,0,Friday,May,0
107,477,2024-02-03 18:25:00,Delhi,Standard,6.54,28,84.49,1.0,84.49,4,Cash,0,30,Male,Young Professional,18,Saturday,February,1
108,1684,2024-04-18 08:18:00,Bangalore,Pool,4.23,23,38.58,2.0,77.16,4,UPI,0,35,Male,Mid-Career,8,Thursday,April,1
109,1359,2024-10-17 20:34:00,Mumbai,Standard,20.23,73,236.64,2.0,473.28,5,Card,0,24,Male,Student,20,Thursday,October,1
110,387,2024-06-10 21:18:00,Bangalore,Standard,16.97,62,190.36,1.0,190.36,5,Wallet,0,33,Female,Young Professional,21,Monday,June,0
111,1360,2024-04-18 19:18:00,Hyderabad,Standard,5.28,28,65.43,1.5,98.15,1,Card,0,36,Other,Mid-Career,19,Thursday,April,1
112,1853,2024-12-01 09:54:00,Mumbai,Standard,3.56,22,38.15,2.0,76.3,3,UPI,0,33,Male,Young Professional,9,Sunday,December,1
113,467,2024-09-12 18:36:00,Delhi,XL,3.15,18,49.53,1.5,74.3,4,Cash,0,21,Female,Student,18,Thursday,September,1
114,1607,2024-07-21 16:16:00,Bangalore,Pool,2.49,11,30.0,1.0,30.0,5,UPI,0,34,Male,Young Professional,16,Sunday,July,0
115,1265,2024-11-25 09:06:00,Bangalore,Premium,6.29,24,125.48,1.5,188.22,5,UPI,0,46,Male,Mid-Career,9,Monday,November,1
116,228,2024-08-22 09:48:00,Bangalore,Pool,13.08,55,105.54,1.5,158.31,5,UPI,0,36,Female,Mid-Career,9,Thursday,August,1
117,1686,2024-03-14 12:07:00,Bangalore,Pool,2.98,19,30.0,1.0,30.0,5,UPI,0,41,Female,Mid-Career,12,Thursday,March,0
118,975,2024-05-15 18:25:00,Delhi,Standard,1.69,11,30.0,2.0,60.0,5,Card,0,29,Female,Young Professional,18,Wednesday,May,1
119,73,2024-03-12 10:52:00,Delhi,Pool,5.16,30,38.21,1.0,38.21,4,Card,0,39,Male,Mid-Career,10,Tuesday,March,0
120,1553,2024-05-06 18:56:00,Mumbai,Premium,1.0,10,30.0,1.5,45.0,4,UPI,0,34,Female,Young Professional,18,Monday,May,1
121,97,2024-10-14 19:56:00,Mumbai,Pool,9.67,36,79.97,1.0,79.97,5,UPI,0,22,Male,Student,19,Monday,October,1
122,1282,2024-10-02 12:12:00,Bangalore,Pool,5.84,25,50.94,1.0,50.94,4,UPI,0,35,Male,Mid-Career,12,Wednesday,October,0
123,263,2024-05-14 08:05:00,Mumbai,Standard,5.49,24,71.09,1.5,106.64,4,UPI,0,22,Male,Student,8,Tuesday,May,1
124,1015,2024-10-26 18:35:00,Chennai,Standard,2.86,15,33.4,2.0,66.8,4,UPI,0,25,Female,Young Professional,18,Saturday,October,1
125,223,2024-08-07 21:54:00,Hyderabad,Standard,18.8,75,207.34,1.0,207.34,5,UPI,0,33,Female,Young Professional,21,Wednesday,August,0
126,1550,2024-10-25 12:31:00,Hyderabad,Standard,1.0,6,30.0,1.0,30.0,4,Card,0,34,Male,Young Professional,12,Friday,October,0
127,485,2024-07-23 03:12:00,Chennai,Pool,16.31,58,138.82,1.0,138.82,4,Card,0,20,Male,Student,3,Tuesday,July,0
128,260,2024-07-04 19:08:00,Delhi,Pool,3.78,20,30.91,2.0,61.82,5,UPI,0,42,Female,Mid-Career,19,Thursday,July,1
129,1709,2024-04-22 09:33:00,Hyderabad,Standard,17.0,63,239.64,1.5,359.46,4,Wallet,0,37,Male,Mid-Career,9,Monday,April,1
130,191,2024-03-11 11:02:00,Mumbai,Premium,10.44,49,208.21,1.0,208.21,5,UPI,0,24,Female,Student,11,Monday,March,0
131,266,2024-09-17 13:30:00,Mumbai,Standard,1.0,11,30.0,1.0,30.0,4,Cash,0,18,Male,Student,13,Tuesday,September,0
132,557,2024-09-09 13:30:00,Hyderabad,Standard,14.25,53,164.14,1.0,164.14,5,UPI,0,30,Male,Young Professional,13,Monday,September,0
133,982,2024-02-16 06:06:00,Mumbai,Standard,9.17,41,92.86,1.0,92.86,4,Card,1,27,Other,Young Professional,6,Friday,February,0
134,216,2024-01-25 17:07:00,Chennai,Standard,1.0,11,30.0,1.0,30.0,5,Card,0,33,Male,Young Professional,17,Thursday,January,1
135,1324,2024-02-26 05:14:00,Bangalore,XL,1.15,11,30.0,1.0,30.0,5,Card,0,28,Male,Young Professional,5,Monday,February,0
136,1719,2024-03-19 17:02:00,Hyderabad,Standard,8.08,33,101.86,1.5,152.79,5,UPI,0,18,Male,Student,17,Tuesday,March,1
137,146,2024-11-17 12:53:00,Mumbai,Premium,8.69,37,205.86,1.0,205.86,5,UPI,0,28,Female,Young Professional,12,Sunday,November,0
138,523,2024-03-22 09:24:00,Bangalore,Pool,10.98,37,84.44,1.0,84.44,3,Cash,0,28,Female,Young Professional,9,Friday,March,1
139,754,2024-12-14 21:11:00,Mumbai,Standard,10.19,45,93.7,1.0,93.7,5,Cash,0,38,Male,Mid-Career,21,Saturday,December,0
140,1206,2024-08-04 17:05:00,Hyderabad,XL,8.62,25,144.54,1.5,216.81,5,UPI,0,25,Male,Young Professional,17,Sunday,August,1
141,1516,2024-11-01 09:48:00,Mumbai,XL,11.63,44,189.15,1.5,283.73,5,UPI,0,48,Female,Mid-Career,9,Friday,November,1
142,1153,2024-02-02 23:44:00,Bangalore,Standard,6.85,24,76.15,1.0,76.15,5,UPI,0,18,Male,Student,23,Friday,February,0
143,565,2024-07-16 20:51:00,Mumbai,Standard,2.42,12,30.16,1.0,30.16,4,UPI,0,45,Female,Mid-Career,20,Tuesday,July,1
144,1888,2024-07-14 02:04:00,Mumbai,Standard,19.48,73,252.11,1.0,252.11,5,UPI,0,29,Male,Young Professional,2,Sunday,July,0
145,1744,2024-11-01 04:15:00,Delhi,Standard,1.0,5,30.0,1.0,30.0,3,UPI,0,40,Male,Mid-Career,4,Friday,November,0
146,718,2024-08-27 09:27:00,Mumbai,Standard,3.65,9,42.51,1.0,42.51,5,Cash,0,32,Female,Young Professional,9,Tuesday,August,1
147,1057,2024-09-27 17:39:00,Bangalore,Premium,10.44,42,239.66,1.5,359.49,4,Card,0,43,Male,Mid-Career,17,Friday,September,1
148,391,2024-05-08 07:23:00,Mumbai,Premium,4.46,27,82.71,1.5,124.06,3,Cash,0,28,Female,Young Professional,7,Wednesday,May,1
149,83,2024-10-10 17:28:00,Delhi,Standard,1.0,7,30.0,2.0,60.0,5,Cash,0,21,Male,Student,17,Thursday,October,1
150,1049,2024-01-06 07:47:00,Bangalore,Standard,1.0,11,30.0,1.0,30.0,5,Card,0,46,Male,Mid-Career,7,Saturday,January,1
151,453,2024-12-14 13:09:00,Mumbai,XL,8.37,39,114.04,1.0,114.04,5,Card,0,30,Other,Young Professional,13,Saturday,December,0
152,1457,2024-02-28 20:28:00,Delhi,Standard,26.79,93,326.52,1.5,489.78,5,Wallet,0,34,Male,Young Professional,20,Wednesday,February,1
153,1098,2024-12-15 17:38:00,Hyderabad,Standard,6.42,26,86.52,1.0,86.52,5,Card,0,44,Female,Mid-Career,17,Sunday,December,1
154,1668,2024-10-01 17:49:00,Mumbai,Standard,5.65,21,58.61,1.0,58.61,5,Card,0,21,Male,Student,17,Tuesday,October,1
155,1688,2024-05-16 12:02:00,Mumbai,XL,3.07,13,49.42,1.0,49.42,3,Wallet,0,37,Female,Mid-Career,12,Thursday,May,0
156,430,2024-11-24 18:42:00,Delhi,Standard,2.37,18,30.0,1.5,45.0,5,UPI,1,26,Female,Young Professional,18,Sunday,November,1
157,1527,2024-06-23 07:59:00,Delhi,Premium,1.0,9,30.0,1.5,45.0,5,Card,0,30,Male,Young Professional,7,Sunday,June,1
158,1990,2024-02-27 17:32:00,Delhi,Pool,2.55,16,30.0,2.0,60.0,5,UPI,0,32,Female,Young Professional,17,Tuesday,February,1
159,1913,2024-05-30 19:49:00,Delhi,Standard,4.77,22,59.7,1.5,89.55,5,Cash,0,18,Female,Student,19,Thursday,May,1
160,1532,2024-08-10 09:12:00,Hyderabad,Pool,1.76,8,30.0,1.5,45.0,5,Cash,0,24,Male,Student,9,Saturday,August,1
161,1420,2024-03-21 14:49:00,Mumbai,Standard,1.0,11,30.0,1.0,30.0,4,Card,0,45,Female,Mid-Career,14,Thursday,March,0
162,702,2024-08-20 17:13:00,Delhi,Premium,10.12,44,203.78,2.0,407.56,5,Card,0,40,Female,Mid-Career,17,Tuesday,August,1
163,852,2024-01-02 12:46:00,Delhi,Premium,18.0,69,350.96,1.0,350.96,4,Cash,0,31,Male,Young Professional,12,Tuesday,January,0
164,218,2024-05-14 08:20:00,Bangalore,Premium,22.09,84,462.87,2.0,925.74,5,Card,0,34,Male,Young Professional,8,Tuesday,May,1
165,460,2024-09-13 17:02:00,Chennai,Standard,7.7,28,92.79,1.5,139.18,4,Wallet,0,29,Male,Young Professional,17,Friday,September,1
166,1342,2024-04-01 18:36:00,Delhi,Pool,1.0,11,30.0,1.0,30.0,5,UPI,0,45,Male,Mid-Career,18,Monday,April,1
167,1761,2024-09-16 19:00:00,Chennai,Standard,10.8,47,125.02,1.0,125.02,5,Wallet,1,29,Female,Young Professional,19,Monday,September,1
168,1342,2024-02-24 00:09:00,Delhi,Standard,1.0,10,30.0,1.0,30.0,5,Card,0,34,Male,Young Professional,0,Saturday,February,0
169,1612,2024-11-16 17:21:00,Mumbai,Standard,8.86,31,108.72,1.5,163.08,5,UPI,0,43,Female,Mid-Career,17,Saturday,November,1
170,1466,2024-06-01 07:55:00,Mumbai,Premium,12.09,52,217.88,1.0,217.88,4,UPI,0,24,Male,Student,7,Saturday,June,1
171,166,2024-11-23 09:16:00,Delhi,Premium,10.35,38,199.83,1.5,299.74,5,UPI,1,47,Male,Mid-Career,9,Saturday,November,1
172,1476,2024-09-16 17:58:00,Delhi,Standard,24.27,91,260.54,1.5,390.81,5,Wallet,0,18,Female,Student,17,Monday,September,1
173,145,2024-11-07 19:11:00,Mumbai,Premium,10.72,45,213.54,2.0,427.08,1,UPI,0,48,Female,Mid-Career,19,Thursday,November,1
174,522,2024-04-11 09:22:00,Delhi,Standard,9.45,41,106.71,1.5,160.06,3,UPI,0,28,Female,Young Professional,9,Thursday,April,1
175,467,2024-03-19 04:29:00,Delhi,Premium,2.43,8,52.3,1.0,52.3,3,Card,0,29,Male,Young Professional,4,Tuesday,March,0
176,1707,2024-07-10 07:12:00,Mumbai,Standard,20.7,78,265.08,2.0,530.16,5,UPI,0,18,Male,Student,7,Wednesday,July,1
177,1313,2024-03-23 08:57:00,Mumbai,Premium,1.58,11,30.0,2.0,60.0,5,Card,0,27,Male,Young Professional,8,Saturday,March,1
178,1061,2024-10-03 07:41:00,Hyderabad,Standard,18.82,75,225.82,2.0,451.64,5,UPI,0,21,Other,Student,7,Thursday,October,1
179,1656,2024-09-28 18:03:00,Delhi,XL,3.0,17,51.06,1.0,51.06,5,Wallet,0,25,Male,Young Professional,18,Saturday,September,1
180,412,2024-01-01 17:25:00,Bangalore,Standard,1.12,13,30.0,1.0,30.0,4,Card,0,30,Female,Young Professional,17,Monday,January,1
181,686,2024-11-02 12:24:00,Bangalore,Standard,14.02,56,156.0,1.0,156.0,5,Cash,0,41,Female,Mid-Career,12,Saturday,November,0
182,1901,2024-06-14 17:09:00,Delhi,Standard,1.0,8,30.0,1.5,45.0,3,Card,0,34,Male,Young Professional,17,Friday,June,1
183,386,2024-09-07 18:18:00,Mumbai,XL,14.27,56,247.9,1.0,247.9,4,UPI,1,35,Female,Mid-Career,18,Saturday,September,1
184,1916,2024-01-10 15:32:00,Delhi,Pool,2.43,18,30.0,1.0,30.0,4,Wallet,0,21,Female,Student,15,Wednesday,January,0
185,942,2024-02-27 11:04:00,Bangalore,Standard,17.28,62,203.09,1.0,203.09,4,UPI,1,23,Female,Student,11,Tuesday,February,0
